清华大学,北京,,,672.00,,,701.00,,702.00,706.00,,691.00,694.00,,694.00,
中国人民大学,北京,,,644.00,,,676.00,,680.00,684.00,,630.00,666.00,,653.00,
北京工业大学,北京,,,558.00,,,619.00,,,603.00,,581.00,584.00,614.00,610.00,611.80
北京理工大学,北京,,,604.00,667.00,,652.00,,,649.00,641.00,623.00,628.00,665.00,634.00,
北京化工大学,北京,,,559.00,,,621.00,,,601.00,598.00,497.00,570.00,626.00,606.00,
中国农业大学,北京,,,584.00,,,637.00,653.00,619.00,628.00,633.00,599.00,610.00,660.00,629.00,635.44
中国传媒大学,北京,,,583.00,655.00,,639.00,,,633.00,,607.00,617.00,,,
北京师范大学,北京,,,,,,661.00,,,663.00,661.00,638.00,,,637.00,
对外经济贸易大学,北京,,,618.00,,,667.00,,,664.00,654.00,639.00,645.00,670.00,656.00,663.00
北京外国语大学,北京,,,614.00,,,659.00,657.00,642.00,652.00,631.00,631.00,631.00,,638.00,
中国矿业大学（北京）,北京,,,548.00,,,,,,589.00,574.00,558.00,564.00,606.00,589.00,595.00
中国政法大学,北京,,,597.00,,,649.00,663.00,641.00,650.00,636.00,612.00,631.00,657.00,615.00,
华北电力大学,北京,,,,666.00,622.00,634.00,656.00,609.00,620.00,632.00,575.00,592.00,,,
北京大学,北京,,,666.00,,,693.00,,700.00,,,689.00,,,695.00,
北京交通大学,北京,,,584.00,,,628.00,642.00,625.00,632.00,621.00,604.00,612.00,643.00,634.00,637.00
北京航空航天大学,北京,,,632.00,,,660.00,,,665.00,,647.00,653.00,,667.00,
北京科技大学,北京,,,575.00,,,632.00,641.00,613.00,621.00,,589.00,598.00,639.00,615.00,
北京邮电大学,北京,630.00,579.00,602.00,,,645.00,666.00,642.00,648.00,,621.00,621.00,,646.00,
北京林业大学,北京,,,562.00,,,620.00,,,604.00,,573.00,579.00,,600.00,
中央民族大学,北京,,,559.00,,,619.00,,,,,579.00,583.00,,579.00,
中央音乐学院,北京,,,,,,,,,,,,,,,
北京中医药大学,北京,,,571.00,,,634.00,,,622.00,,492.00,575.00,,496.00,
中国地质大学（北京）,北京,,,560.00,,,,612.00,584.00,593.00,594.00,554.00,565.00,603.00,594.00,597.15
中国石油大学（北京）,北京,,,,,,,642.00,589.00,598.00,602.00,557.00,572.00,608.00,590.00,597.00
中央财经大学,北京,,,627.00,,,668.00,679.00,658.00,663.00,671.00,634.00,644.00,672.00,655.00,
北京体育大学,北京,,,531.00,,,600.00,,,566.00,,546.00,557.00,,,
上海外国语大学,上海,,,608.00,,,649.00,657.00,640.00,645.00,627.00,621.00,625.00,653.00,646.00,650.00
